id,text,screen_name,created_at,retweet_count,favorite_count,friends_count,followers_count,lang,country,sentiment
"1,24737632205115E+018","Ezeiza, la puerta que el Gobierno demoró en cerrar y por donde ingresó el coronavirus #coronavirus vía @lanacion",RubenBritezok,Tue Apr 07 04:11:04 +0000 2020,0,0,1508,851,es,Argentina,negative
"1,24737642334341E+018",#COVID19 EN #SONORA 36 casos confirmados y cuatro fallecimientos. @ssaludsonora,ExpresionSon,Tue Apr 07 04:11:29 +0000 2020,0,0,1327,143,es,México,neutral
"1,24737643450023E+018",@ShreyaTrivediMD That’s why I define COVID-19 as: the “Lonely and solitary disease”,gilliar_do,Tue Apr 07 04:11:31 +0000 2020,0,0,627,597,en,United States,neutral
"1,24737645176421E+018","Juntos saldremos adelante. Banco FIE, Covid-19 vía @YouTube",Ximelmat,Tue Apr 07 04:11:35 +0000 2020,0,0,168,5,es,Bolivia,positive
"1,24737646427981E+018","COVID-19: Trump Talks ""Retaliation"" If India Rejects Export Of Key Drug - NDTV",adonishai,Tue Apr 07 04:11:38 +0000 2020,0,0,174,21,en,India,neutral
"1,24737649887864E+018",@d00ditsmarc Hey @coldplay cure us with your music from this COVID-19 🤙🤍,trinhlha_,Tue Apr 07 04:11:47 +0000 2020,0,0,79,87,en,United States,positive
"1,24737651537061E+018",We're talking billions for millions of people. I hope no banking collapse will happen. #COVID19,akosihadee,Tue Apr 07 04:11:51 +0000 2020,0,0,273,27,en,Republic of the Philippines,neutral
"1,24737656863848E+018",@realDonaldTrump knew about coronavirus since January 29th. #TrumpLiesAmericansDie,KLE1967,Tue Apr 07 04:12:03 +0000 2020,0,0,5001,1596,en,United States,negative
"1,2473765737849E+018",I hope I can lucid dream my way outta quarantine #COVID19,Peteypooze,Tue Apr 07 04:12:04 +0000 2020,0,0,567,372,en,United States,positive
"1,24737659817459E+018",@Target please stop or limit your curb side pickup. @FoxNews #COVID19,rqBond3,Tue Apr 07 04:12:10 +0000 2020,0,0,425,30,en,United States,neutral
"1,24737660293947E+018",Chris Cuomo shares chest X-rays after coronavirus diagnosis via @YouTube,CaffreyEj,Tue Apr 07 04:12:11 +0000 2020,0,0,11346,11158,en,United States,neutral
"1,24737661155862E+018",How does China have no more cases and deaths of COVID-19? 🤔,JAlvaradoNews,Tue Apr 07 04:12:13 +0000 2020,0,0,393,30,en,United States,neutral
"1,2473766280632E+018",Notetaker WarRoom COVID-19,TerasinR,Tue Apr 07 04:12:17 +0000 2020,0,0,3182,2052,en,ประเทศไทย,neutral
"1,24737675471872E+018",@realDonaldTrump good morning now india is better to fight Covid 19,RJeerawla,Tue Apr 07 04:12:48 +0000 2020,0,0,2739,165,en,भारत,neutral
"1,24737680201357E+018",Lock down possible or coronavirus Positive.... Poor Lodge management in karnji Lodge 1...@MOM_sg,ksarath456,Tue Apr 07 04:12:59 +0000 2020,0,0,119,15,en,Singapore,neutral
"1,24737685586021E+018",@eentertainment In which house do I have the best chance of contracting COVID19 and being rushed out via ambulance? I choose that one.,BDub1966,Tue Apr 07 04:13:12 +0000 2020,0,0,911,196,en,United States,neutral
"1,2473768853251E+018",Please respect front line workers #COVID19 #coronavirus,Sanso13527,Tue Apr 07 04:13:19 +0000 2020,0,0,48,96,en,United Kingdom,positive
"1,24737697549015E+018",@SindhHealthDpt @barhasnainmirza didnt your area have a death related to COVID19 ???,SumetaSyed,Tue Apr 07 04:13:40 +0000 2020,0,0,538,23823,en,Pakistan,negative
"1,24737698910488E+018",@SocMikeStout Protecting portfolios over people #COVID19. #GOPCorruptionOverCountry,NixaMoMama,Tue Apr 07 04:13:44 +0000 2020,0,0,688,222,en,United States,negative
"1,24737699706147E+018",Como se dice coronavirus en Chino?,dany_gomezz,Tue Apr 07 04:13:45 +0000 2020,0,0,476,689,es,Peru,neutral
"1,24737702611099E+018",How China Built a Twitter Propaganda Machine Then Let It Loose on Coronavirus,dr_kodol,Tue Apr 07 04:13:52 +0000 2020,0,0,282,15,en,Republic of Korea,neutral
"1,24737706847766E+018","Coronavirus, cristianismo y superstición",acentodiario,Tue Apr 07 04:14:02 +0000 2020,0,0,1317,347773,es,Dominican Republic,neutral
"1,24737708137933E+018",La expansión del coronavirus ante los retos políticos,acentodiario,Tue Apr 07 04:14:06 +0000 2020,0,0,1317,347773,es,Dominican Republic,neutral
"1,24737719345115E+018","Cómo debe protegerse un médico en otros países VS #COVID19 Y cómo se ""protege"" uno en México #TikTok",pinkblush04_,Tue Apr 07 04:14:32 +0000 2020,0,0,545,200,es,Mexico,neutral
"1,24737720705747E+018",Finally a word to summarize it! @ashsr22 #lockdowneffect #life #SocialDistanacing #coronavirus,adityasr22,Tue Apr 07 04:14:35 +0000 2020,0,0,549,45,en,India,neutral
"1,2473773675609E+018",@DiegodelBosqueV Honestamente no es Problema de izquierda o derecha. Todos los análisis señalan una recesión tan grande como el Covid19.,abritoj,Tue Apr 07 04:15:14 +0000 2020,0,0,269,372,es,México,neutral
"1,24737744484518E+018",Just tryna Euro step covid-19,Eastradamus,Tue Apr 07 04:15:32 +0000 2020,0,0,265,297,en,United States,neutral
"1,24737763088361E+018",Biden's offer to help coronavirus efforts making governors' jobs 'difficult' via @nypost,MalcolmGrey6,Tue Apr 07 04:16:17 +0000 2020,0,0,29,8,en,United States,positive
"1,24737765870852E+018",Ministering to our youth during this pandemic. God&gt;Covid19 @ABC7 @CBSNews @KTLA @FoxNews,madregoneloca,Tue Apr 07 04:16:23 +0000 2020,0,0,331,120,en,United States,negative
"1,24737766058777E+018","368,196 cases and 10,986 deaths in US on 4/6 at 11:01 pm #COVID19 #CoronaVirusUpdate",historianspeaks,Tue Apr 07 04:16:24 +0000 2020,0,0,4705,5679,en,United States,negative
"1,24737776898954E+018",URGE VACUNARSE CONTRA LA NEUMONÍA ATIPICA! ES MAS PELIGROSO QUE COVID 19,sedonde,Tue Apr 07 04:16:49 +0000 2020,0,0,130,87,es,México,negative
"1,24737782672814E+018","Los Angeles Opens Coronavirus Testing to Anyone, Not Just People Most at Risk",LAangel_Camilla,Tue Apr 07 04:17:03 +0000 2020,0,0,2457,1584,en,United States,neutral
"1,24737794411835E+018","I'll crack on Friday, May 8! #lockdown #covid19 #WhenWillYouCrack",VaughnDeF,Tue Apr 07 04:17:31 +0000 2020,0,0,1538,463,en,United States,neutral
"1,24737799094356E+018",Hasta que no haya un muerto por covid-19 en Pénjamo la gente no va a dejar de hacer sus reunioncitas y sus pedas.,SaraArroyoA,Tue Apr 07 04:17:42 +0000 2020,0,0,437,440,es,México,negative
"1,24737809941253E+018",#done #readallthebooks #coronavirus The Plot Thickens,PublicEd412,Tue Apr 07 04:18:08 +0000 2020,0,0,500,418,en,United States,neutral
"1,24737817412578E+018",Atleast something wonderful came out of this horrific pandemic #CoronaVirus. Pink champa,DrJunaidMAlam,Tue Apr 07 04:18:26 +0000 2020,0,0,305,860,en,Pakistan,negative
"1,24737841517237E+018",@piersmorgan Your tweet doesn't say 'anything positive' about #BorisJohnso. So. Shut the fuck up. #PiersMorgan #COVID19,opheliasbrother,Tue Apr 07 04:19:24 +0000 2020,0,0,4602,3295,en,United Kingdom,negative
"1,24737843970893E+018",I’m so tired of hearing about COVID 19 yet i watch the news everyday 😩,prettie_ashh,Tue Apr 07 04:19:29 +0000 2020,0,0,534,160,en,United States,neutral
"1,24737855784984E+018",@chennaicorp How do i report someone on COVID19 symptoms. I only have their name and address,venkatbchilaka,Tue Apr 07 04:19:58 +0000 2020,0,0,52,15,en,India,neutral
"1,24737859214267E+018",To the 8 states not issuing stay at home orders 🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼 #coronavirus #StayHome #StayAtHome #Ohiolockdown #ohiocoronavirus,lisamfrancis,Tue Apr 07 04:20:06 +0000 2020,0,0,335,96,en,United States,neutral
"1,24737866798827E+018","MSU doctor creates COVID-19 test with quick results, pending FDA approval #COVID19 #ChinaVirus",BillBlett,Tue Apr 07 04:20:24 +0000 2020,0,0,1421,907,en,United States,positive
"1,24737868302045E+018","@realDonaldTrump china made #CoronaVirus has killed near about 11000 US citizens, what action have u taken against China &amp; CCP?",dhirajchoudha20,Tue Apr 07 04:20:27 +0000 2020,0,0,1383,199,en,Pakistan,neutral
"1,24737880423166E+018",I wish coronavirus never happened hope everyone stays healthy and safe,martinf024,Tue Apr 07 04:20:56 +0000 2020,0,0,487,84,en,United States,positive
"1,24737886272564E+018",Tantos proyectos que tenía para este 2020 y el Coronavirus se me caga de risa en la cara🙄,JooakoMendez,Tue Apr 07 04:21:10 +0000 2020,0,0,532,1007,es,Argentina,negative
"1,24737888854996E+018","@lwalubengo If only Covid-19 was giving us humble time 😂 Expect anything, the hints are dropped daily by CS Kagwe",Tsumah_ndolo,Tue Apr 07 04:21:16 +0000 2020,0,0,700,985,en,Kenya,neutral
"1,24737897374868E+018",I will never wish for another #snowday again. I miss my students. #COVID19,tedrosececi,Tue Apr 07 04:21:37 +0000 2020,0,0,4736,4675,en,United States,neutral
"1,24737915285402E+018",Región de Los Ríos cuenta con un segundo recinto acreditado para la detección del coronavirus,Informa93punto1,Tue Apr 07 04:22:19 +0000 2020,0,0,366,180,es,Alemania,positive
"1,24737931702729E+018",Why would they do it? Chinese tourists are stuck at a attraction amid coronavirus pandemic,Jaw_Knock,Tue Apr 07 04:22:59 +0000 2020,0,0,777,11632,en,Nepal,neutral
"1,24737939702956E+018",From the #COVID19 Boris Johnson will.............................,KowaFredrick,Tue Apr 07 04:23:18 +0000 2020,0,0,2671,1453,en,Kenya,neutral
"1,24737940449108E+018",Thornton niggas using the coronavirus as an excuse to use a bandana and rep a suburban neighborhood,Pedro_bg3,Tue Apr 07 04:23:19 +0000 2020,0,0,307,677,en,United States,negative
"1,24737941714133E+018",NO we’re really not @realDonaldTrump #COVID19,mmackcollins,Tue Apr 07 04:23:22 +0000 2020,0,0,1381,1005,en,United States,neutral
"1,24737944650978E+018","Fallece primer bombero por COVID19, Galvarino del Tránsito Fernández Ayala (Q.E.P.D)",CD3EHH,Tue Apr 07 04:23:29 +0000 2020,0,0,4163,4548,es,Chile,negative
"1,24737956490646E+018","In ORDER 2 AVOID IncReaSinG NumBers Of COVID-19,+Ve PATIENTS,A COMPLETE STRICT CURFEW Has 2 B There For Atleast 3-4 Days Before 14 APRIL😡😡",rupeshrbajpai,Tue Apr 07 04:23:58 +0000 2020,0,0,249,66,en,India,negative
"1,24737962833709E+018",I was already introverted long before coronavirus was popular’ #DoingTheSame 😝,papeed,Tue Apr 07 04:24:13 +0000 2020,0,0,144,77,en,United States,neutral
"1,2473797654069E+018",Wow 2 years ago today I was in South Beach with my man. Coronavirus ruined our vacation 😢,ynaoivw,Tue Apr 07 04:24:45 +0000 2020,0,0,898,2211,en,United States,positive
"1,24737978990583E+018","Aerial images show streets, beaches and landmarks empty during coronavirus pandemic via @USATODAY",mulugetaayene,Tue Apr 07 04:24:51 +0000 2020,0,0,475,909,en,Ethiopia,neutral
"1,24737979589115E+018",Nuestras vidas eran igual de miserables antes del Covid-19.,OjosAguapanela,Tue Apr 07 04:24:53 +0000 2020,0,0,766,7913,es,Colombia,negative
"1,24737982420674E+018",Check out this video from @TrustBrosCBD about #COVID19 awareness. 😎,RoxyRenDoes,Tue Apr 07 04:24:59 +0000 2020,0,0,334,541,en,United States,neutral
"1,2473798399691E+018","El COVID-19 me arruinó 182739 planes, pero ánimo!",MarleeneO,Tue Apr 07 04:25:03 +0000 2020,0,0,90,295,es,México,positive
"1,24737984064001E+018",Covid-19: Prime Minister Boris Johnson in intensive care,DailyESSEX,Tue Apr 07 04:25:03 +0000 2020,0,0,2565,22839,en,United Kingdom,negative
"1,24737998393439E+018",I was supposed to be home rn... stupid coronavirus ruined everything.,rod7e,Tue Apr 07 04:25:38 +0000 2020,0,0,201,251,en,United States,negative
"1,24738000898272E+018",Coronavirus or not as soon as May hit I’m out✌🏼,jadaaabooo,Tue Apr 07 04:25:43 +0000 2020,0,0,252,481,en,United States,neutral
"1,24738007466116E+018",Help unemployed ones to stop covid-19,mojohookah,Tue Apr 07 04:25:59 +0000 2020,0,0,43,39,en,United States,negative
"1,2473802088789E+018","My birthday wish for today is everyone’s safety. Lord, I declare na matapos na ‘tong COVID19 na ito. ❤️🙏🏻",KaelBondoc,Tue Apr 07 04:26:31 +0000 2020,0,0,904,2373,en,Republic of the Philippines,negative
"1,24738021828687E+018",@sallyeastman1 @JordanSchachtel @davereaboi I don’t wish Coronavirus on anyone. I might’ve just changed my wishes.,dancedivaamg,Tue Apr 07 04:26:33 +0000 2020,0,0,138,77,en,United States,neutral
"1,24738036189146E+018",Racism has no place in the global fight against COVID-19.,h_soumare,Tue Apr 07 04:27:08 +0000 2020,0,0,1235,1044,en,United States,positive
"1,24738046671976E+018",Just saw a viral Facebook post claiming that Soros owns “the Wuhan lab where COVID-19 was created” and that’s enough Internet for tonight,ClaireJChu,Tue Apr 07 04:27:33 +0000 2020,0,0,1900,1254,en,United States,negative
"1,24738068755406E+018",Today we are going to have more patients of covid19??? JESUS told me but am scared you won't believe me🤣🤣🤣,LutaleY,Tue Apr 07 04:28:25 +0000 2020,0,0,192,19,en,Uganda,neutral
"1,2473807179627E+018","COVID-19: UAE's Taaleem announces school fees discounts, special packages #InThisTogether",walfordwright,Tue Apr 07 04:28:33 +0000 2020,0,0,455,11899,en,United Arab Emirates,negative
"1,24738086400005E+018","COVID-19: UAE's Taaleem🍎 announces school fees discounts, special packages #InThisTogether",Taaleem,Tue Apr 07 04:29:07 +0000 2020,0,0,191,4217,en,United Arab Emirates,neutral
"1,24738086736785E+018",See Iceland government's transparency and amazing data sharing on #COVID19,meeadsaberi,Tue Apr 07 04:29:08 +0000 2020,0,0,316,678,en,Australia,positive
"1,24738086813556E+018","Well, she was just COVID-19, if you know what I mean And the way she looked Was way beyond compare",Big2naFish,Tue Apr 07 04:29:08 +0000 2020,0,0,233,93,en,United States,neutral
"1,24738088519805E+018","Colombia le está ganando al Coronavirus. No tienen pruebas, pero tampoco tienen dudas.",hxrlex,Tue Apr 07 04:29:12 +0000 2020,0,0,214,770,es,Colombia,neutral
"1,2473809767092E+018",Now to get my crush to date me 🤔. But after these cdc guidelines go away. COVID19 really saved him these months 😂.,Sitol_Jane,Tue Apr 07 04:29:34 +0000 2020,0,0,1854,954,en,United States,neutral
"1,24738098597459E+018",@JoeySalads @BarackObama @JoeySalads How would you simultaneously re-open businesses and prevent further spread of COVID-19?,harperbeverly58,Tue Apr 07 04:29:36 +0000 2020,0,0,243,46,en,United States,neutral
"1,24738148827585E+018",Another victim of the economic crash from Covid 19. Our beloved ok sklsnd Zoo.,Earthgranny,Tue Apr 07 04:31:36 +0000 2020,0,0,2384,1812,en,United States,negative
"1,24738165713435E+018",@ShujaatAliSyed1 COVID 19 and its impact on Thailand's security architecture,ruetacha,Tue Apr 07 04:32:16 +0000 2020,0,0,330,106,en,Thailand,negative
"1,24738168129782E+018","This decade is off to a crazy start. If you think coronavirus is bad, wait a few years until SkyNet sends back a Terminator.",hank_thierry,Tue Apr 07 04:32:22 +0000 2020,0,0,1220,221,en,United States,negative
"1,24738171439515E+018",NOTE: this is BEFORE any patients arrived- #NOLA #COVID19,PodcastKevin,Tue Apr 07 04:32:30 +0000 2020,0,0,362,113,en,United States,neutral
"1,24738173105474E+018","Coronavirus: President, PM, Ministers, MPs to take 30% salary cut for a year via NaMo App",SurajKu43005567,Tue Apr 07 04:32:34 +0000 2020,0,0,19,0,en,India,neutral
"1,24738175312112E+018",Gendarmería confirmó primer caso de coronavirus en cárcel de mujeres de San Miguel,Carlossassarini,Tue Apr 07 04:32:39 +0000 2020,0,0,2036,5597,es,Chile,negative
"1,24738179150324E+018",Listen Up👂🏼.. #COVID19,JenanX59_,Tue Apr 07 04:32:48 +0000 2020,0,0,290,1023,en,United Kingdom,neutral
"1,247382135738E+018",Today is World health day and covid-19 safety She is everyone responsibility Social distance is compulsory,Dharmen14883089,Tue Apr 07 04:34:11 +0000 2020,0,0,1,0,en,India,positive
"1,24738218595215E+018",Bronx Zoo says tiger did not get human coronavirus test via @nypmetro,MetalOTM,Tue Apr 07 04:34:23 +0000 2020,0,0,1499,1539,en,United States,positive
"1,24738233662017E+018",Protecting portfolios over people #COVID19 #GOPCorruptionOverCountry,NixaMoMama,Tue Apr 07 04:34:58 +0000 2020,0,0,688,222,en,United States,positive
"1,24738234529801E+018",I want to order Fast food rn (9:30pm) but I'm so worried that Essential workers have #covid19 😓,acactus27,Tue Apr 07 04:35:01 +0000 2020,0,0,124,104,en,United States,neutral
"1,24738237921747E+018",@BBCWorld Makes sense. What about Covid-19?,pinetailnyc,Tue Apr 07 04:35:09 +0000 2020,0,0,174,26,en,United States,neutral
"1,24738240297808E+018",Ivermectin drug kills COVID-19 in laboratory within 48 hours,JavediqbalProf,Tue Apr 07 04:35:14 +0000 2020,0,0,271,280,en,India,negative
"1,24738268460055E+018",COVID 19: Grant to states should not be on the bases of confirmed cases @GovWike,miebacka,Tue Apr 07 04:36:21 +0000 2020,0,0,5026,4655,en,Nigeria,neutral
"1,24738269324504E+018",Coronavirus: China records first day with no deaths since January #Coronavirus,PoliticalPrada,Tue Apr 07 04:36:23 +0000 2020,0,0,4998,2127,en,United States,positive
"1,24738280609678E+018",En unos días van a anunciar que un bebé nació con COVID-19,HumbertoMD,Tue Apr 07 04:36:50 +0000 2020,0,0,462,495,es,México,negative
"1,24738281333631E+018",Apoyo para sociedad en QRoo ante la cuarentena por covid19,CancunStyle,Tue Apr 07 04:36:52 +0000 2020,0,0,184,798,es,México,neutral
"1,24738284645873E+018",No pos si... 🤔🤔🤔 #Culiacan #COVID19 ¿ @jorgeberry que opinas?,macero25,Tue Apr 07 04:37:00 +0000 2020,0,0,246,1688,es,Mexico,negative
"1,24738291892791E+018",🚨 CIGARETTE COMPANY IS KILLING THEIR BEST CUSTOMERS 🚨 😂 🤣 🤣 #COVID19 #lockdowneffect,ThisZ_Uganda,Tue Apr 07 04:37:17 +0000 2020,0,0,958,606,en,Uganda,negative
"1,24738298971519E+018","Remember, Unite, Renew as we continue to combat the COVID 19 Pandemic within the confines of our Homes.",EdwardNkusi,Tue Apr 07 04:37:34 +0000 2020,0,0,150,25,en,Rwanda,negative
"1,24738299026879E+018",Prayers up for everyone negatively affected by the Coronavirus 🙏🏽,KyleSkye,Tue Apr 07 04:37:34 +0000 2020,0,0,7858,26154,en,United States,neutral
"1,24738299423664E+018",I seen somebody call COVID-19 the Holocough and I haven’t stopped laughing since.,Ray5893,Tue Apr 07 04:37:35 +0000 2020,0,0,923,962,en,United States,negative
"1,24738309517242E+018",WHO director-general endorses a voluntary intellectual property pool to develop Covid-19 products,Rosario_Strano,Tue Apr 07 04:37:59 +0000 2020,0,0,8188,7428,en,United States,positive
"1,24738312777497E+018",Adventures with DNA: Covid time capsule #MaplewoodMom #TimeCapsule #COVID19 via @YouTube,NikkiLee1984,Tue Apr 07 04:38:07 +0000 2020,0,0,790,439,en,United States,neutral
"1,2473831791634E+018",UK Prime Minister Boris Johnson dies after contracting Coronavirus,tokamaksan,Tue Apr 07 04:38:19 +0000 2020,0,0,378,150,en,日本,negative
"1,2473831802541E+018",@FelipeCalderon #NeumoniaAtipica me preocupa. Más que el covid 19 eso sí es un problema en México.,jbr191075,Tue Apr 07 04:38:20 +0000 2020,0,0,547,64,es,México,negative
"1,24738318716204E+018",Todos juntos vamos a superar esta pandemia de Coronavirus #yaeshora #QuedateEnCasaYa,NelsonRHMD,Tue Apr 07 04:38:21 +0000 2020,0,0,1023,772,es,México,positive
"1,24738322038496E+018",i think johnny blonde hair would kill the coronavirus,byeongyunho,Tue Apr 07 04:38:29 +0000 2020,0,0,397,2573,en,United States,negative
"1,2473832429128E+018","Congrats, Cali! You did it! #COVID19 #californiacoronavirus",mkcarr44,Tue Apr 07 04:38:35 +0000 2020,0,0,340,39,en,United States,positive
"1,24738331396844E+018",Vean el episodio de “Hablando con Oprah” sobre el Covid-19 en Apple+ 🥰 está genial.,Chocolatito,Tue Apr 07 04:38:51 +0000 2020,0,0,3406,5141,es,Mexico,positive
